epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,71.0702,1.20826,1.00848,1.11182,0.62047,0.39906,0.43796,0.25207,1.53598,1.63344,1.3339,0.000614,0.000614,0.000614
44,72.6931,1.16888,0.9841,1.0994,0.62092,0.41339,0.43455,0.26382,1.5692,1.62025,1.33913,0.000581,0.000581,0.000581
45,74.3143,1.1552,0.97196,1.09549,0.69564,0.40494,0.44735,0.25963,1.52741,1.55595,1.32881,0.000548,0.000548,0.000548
46,75.9326,1.15524,0.9329,1.08591,0.56811,0.42913,0.42791,0.23614,1.57902,1.69993,1.35797,0.000515,0.000515,0.000515
47,77.5562,1.15747,0.96177,1.11144,0.63551,0.43307,0.45003,0.24959,1.60468,1.61869,1.3804,0.000482,0.000482,0.000482
48,79.1806,1.14071,0.91718,1.09085,0.59086,0.44882,0.45824,0.2673,1.53577,1.59841,1.33666,0.000449,0.000449,0.000449
49,80.795,1.11432,0.90087,1.0932,0.58465,0.45669,0.45849,0.26582,1.58119,1.6671,1.34965,0.000416,0.000416,0.000416
50,82.4125,1.13026,0.89016,1.08915,0.60489,0.42795,0.44913,0.26155,1.60645,1.68012,1.3638,0.000383,0.000383,0.000383
51,84.3208,1.09613,0.89407,1.07217,0.61217,0.4252,0.44088,0.25028,1.66373,1.76342,1.40441,0.00035,0.00035,0.00035
52,85.9456,1.05313,0.85519,1.05996,0.71224,0.41732,0.46863,0.2796,1.50819,1.58612,1.33988,0.000317,0.000317,0.000317
53,87.5573,1.06465,0.84712,1.07306,0.63562,0.43701,0.44064,0.26082,1.54818,1.76969,1.32945,0.000284,0.000284,0.000284
54,89.1801,1.03902,0.83008,1.06351,0.61238,0.45276,0.46159,0.28062,1.52049,1.60652,1.31302,0.000251,0.000251,0.000251
55,90.8006,1.04198,0.80492,1.06444,0.64656,0.44094,0.45806,0.28002,1.55715,1.67217,1.32998,0.000218,0.000218,0.000218
56,92.4215,1.01811,0.74824,1.03868,0.59919,0.42966,0.45689,0.2758,1.51015,1.61989,1.31638,0.000185,0.000185,0.000185
57,94.033,1.02368,0.7555,1.05114,0.61241,0.44882,0.4712,0.2831,1.51362,1.61627,1.30266,0.000152,0.000152,0.000152
58,95.6685,0.95404,0.7374,1.01614,0.6899,0.44882,0.49392,0.29507,1.49089,1.55318,1.28053,0.000119,0.000119,0.000119
59,97.3073,1.00584,0.71233,1.01591,0.63197,0.48031,0.49918,0.29723,1.4765,1.48749,1.27788,8.6e-05,8.6e-05,8.6e-05
60,98.9563,1.00992,0.73605,1.03348,0.62539,0.48425,0.49756,0.3,1.48719,1.51154,1.2895,5.3e-05,5.3e-05,5.3e-05
