epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2166.09,0.49172,0.43762,0.91887,0.96998,0.94211,0.97686,0.87363,0.49731,0.43448,0.91575,0.000215774,0.000215774,0.000215774
43,2225.13,0.47564,0.35382,0.87553,0.97097,0.96868,0.97997,0.8838,0.47451,0.37587,0.90952,0.000204769,0.000204769,0.000204769
44,2283.52,0.42331,0.32638,0.87006,0.97273,0.96732,0.98149,0.88302,0.47378,0.35568,0.90245,0.000193763,0.000193763,0.000193763
45,2341.61,0.50497,0.36695,0.95753,0.96949,0.96953,0.9821,0.88655,0.46858,0.34422,0.9015,0.000182758,0.000182758,0.000182758
46,2401.5,0.43312,0.33575,0.87117,0.96311,0.97278,0.9832,0.89508,0.47389,0.33701,0.90762,0.000171752,0.000171752,0.000171752
47,2461.82,0.47035,0.36699,0.8893,0.96199,0.97609,0.9832,0.89737,0.46637,0.31596,0.90059,0.000160747,0.000160747,0.000160747
48,2522.32,0.42566,0.3189,0.86501,0.97807,0.96853,0.98339,0.89915,0.45425,0.3144,0.89188,0.000149741,0.000149741,0.000149741
49,2582.61,0.41457,0.32507,0.86676,0.96646,0.97861,0.98342,0.89375,0.45204,0.29436,0.89501,0.000138736,0.000138736,0.000138736
50,2640.09,0.42614,0.37163,0.86157,0.97646,0.97174,0.98353,0.90173,0.45979,0.28833,0.89857,0.000127731,0.000127731,0.000127731
51,2699.67,0.36613,0.27886,0.82356,0.97353,0.96961,0.9818,0.90049,0.457,0.27729,0.89637,0.000116725,0.000116725,0.000116725
52,2756.72,0.35228,0.28507,0.82707,0.9705,0.97467,0.98148,0.89594,0.47177,0.29246,0.89929,0.00010572,0.00010572,0.00010572
53,2815.51,0.35182,0.27135,0.81591,0.97602,0.9643,0.98129,0.89721,0.47117,0.2955,0.90264,9.4714e-05,9.4714e-05,9.4714e-05
54,2876.58,0.35064,0.26137,0.82442,0.97868,0.96241,0.97955,0.89837,0.46381,0.29812,0.90356,8.37085e-05,8.37085e-05,8.37085e-05
55,2937.8,0.35317,0.27508,0.83649,0.97931,0.96201,0.97864,0.89739,0.45604,0.30774,0.89994,7.2703e-05,7.2703e-05,7.2703e-05
56,2994.46,0.33819,0.271,0.82615,0.9756,0.9592,0.97686,0.89049,0.45313,0.31299,0.89882,6.16975e-05,6.16975e-05,6.16975e-05
57,3052.7,0.33215,0.24452,0.79991,0.97222,0.95772,0.97716,0.89056,0.45176,0.30963,0.89777,5.0692e-05,5.0692e-05,5.0692e-05
58,3111.33,0.32424,0.24809,0.80845,0.97111,0.95677,0.9778,0.89415,0.44421,0.30823,0.8937,3.96865e-05,3.96865e-05,3.96865e-05
59,3169.87,0.32328,0.26055,0.83568,0.96869,0.95668,0.9778,0.89584,0.43952,0.30577,0.89127,2.8681e-05,2.8681e-05,2.8681e-05
60,3229.38,0.41122,0.29246,0.84114,0.96842,0.95377,0.97784,0.89962,0.43195,0.2993,0.88703,1.76755e-05,1.76755e-05,1.76755e-05
