epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.57494,0.8438,4.25683,1.06349,0.28924,0.15185,0.08881,0.07894,0.51625,3.23229,0.84654,5.336e-05,5.336e-05,5.336e-05
2,2.39753,0.69119,2.87954,0.97477,0.30029,0.46389,0.32786,0.29012,0.4889,3.19044,0.81685,0.000111519,0.000111519,0.000111519
3,3.23391,0.6542,1.9923,0.96195,0.37735,0.67949,0.5684,0.50476,0.5156,1.89707,0.80151,0.000167697,0.000167697,0.000167697
4,4.00118,0.6203,1.52136,0.91502,0.71298,0.70264,0.76118,0.67289,0.545,1.30029,0.80573,0.000221894,0.000221894,0.000221894
5,4.75024,0.6168,1.24724,0.93117,0.59691,0.81988,0.76541,0.67655,0.59143,1.32629,0.81778,0.00027411,0.00027411,0.00027411
6,5.46821,0.66017,1.08876,0.93978,0.76539,0.85494,0.87039,0.78111,0.52989,0.9152,0.80936,0.000324345,0.000324345,0.000324345
7,6.16478,0.6381,1.0164,0.94858,0.71112,0.85236,0.83082,0.72193,0.55755,1.14585,0.83533,0.0003726,0.0003726,0.0003726
8,6.82505,0.64512,0.95806,0.94489,0.77889,0.84492,0.89654,0.78234,0.55719,0.7434,0.82421,0.000418873,0.000418873,0.000418873
9,7.4958,0.69648,0.88703,0.97803,0.88736,0.84708,0.93326,0.81481,0.5697,0.60951,0.84359,0.000463165,0.000463165,0.000463165
10,8.15456,0.59015,0.74291,0.92728,0.843,0.86181,0.9329,0.81958,0.54925,0.65372,0.83623,0.000505476,0.000505476,0.000505476
11,8.821,0.61679,0.72688,0.92286,0.87802,0.8534,0.9335,0.8085,0.58421,0.71805,0.85365,0.000545806,0.000545806,0.000545806
12,9.52312,0.60003,0.64856,0.91445,0.90534,0.90185,0.96694,0.83549,0.57361,0.52885,0.85372,0.00054594,0.00054594,0.00054594
13,10.1817,0.58039,0.6551,0.89803,0.88097,0.86327,0.9572,0.83817,0.53882,0.54563,0.84273,0.000534934,0.000534934,0.000534934
14,10.8406,0.57245,0.63455,0.92408,0.87997,0.86008,0.95403,0.82965,0.55172,0.54582,0.84299,0.000523928,0.000523928,0.000523928
15,11.4751,0.56865,0.63086,0.91527,0.91559,0.91156,0.95984,0.84656,0.50104,0.50261,0.83792,0.000512923,0.000512923,0.000512923
16,12.1431,0.55279,0.61804,0.90396,0.90413,0.88081,0.95887,0.85118,0.52773,0.55362,0.83917,0.000501917,0.000501917,0.000501917
