epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.85416,0.62918,1.92781,0.87796,0.68347,0.74611,0.77875,0.68719,0.52362,1.12754,0.82082,0.000405702,0.000405702,0.000405702
2,5.2264,0.56053,0.97239,0.84758,0.66813,0.80176,0.79534,0.68731,0.57258,0.95614,0.84131,0.000808799,0.000808799,0.000808799
3,7.57734,0.54958,0.79766,0.84086,0.65618,0.62867,0.64925,0.52888,0.77066,1.45333,0.90614,0.00119815,0.00119815,0.00119815
4,9.88871,0.5778,0.76781,0.84796,0.55736,0.60789,0.51647,0.44499,0.60451,2.28608,0.85403,0.00118812,0.00118812,0.00118812
5,12.2089,0.55674,0.70476,0.84644,0.79301,0.82195,0.90922,0.79776,0.55499,0.88601,0.83291,0.0011675,0.0011675,0.0011675
6,14.528,0.53274,0.64337,0.83694,0.80774,0.88767,0.93836,0.82568,0.5398,0.69216,0.82476,0.00114688,0.00114688,0.00114688
7,16.8611,0.5325,0.592,0.83655,0.81317,0.83394,0.91883,0.7911,0.58362,0.7344,0.84383,0.00112625,0.00112625,0.00112625
8,19.1565,0.53072,0.58628,0.84099,0.88085,0.88397,0.94089,0.82952,0.5276,0.53537,0.82899,0.00110563,0.00110563,0.00110563
9,21.4881,0.50425,0.54722,0.83181,0.80701,0.87857,0.93459,0.82179,0.52568,0.61171,0.82811,0.001085,0.001085,0.001085
10,23.7881,0.50924,0.55013,0.83589,0.85939,0.86291,0.95882,0.85782,0.48892,0.58469,0.816,0.00106437,0.00106437,0.00106437
11,26.1421,0.49426,0.52968,0.8252,0.7885,0.87876,0.95555,0.8499,0.51799,0.70304,0.82128,0.00104375,0.00104375,0.00104375
12,28.4448,0.50123,0.53029,0.82741,0.91734,0.93213,0.97442,0.87377,0.49141,0.43095,0.81329,0.00102312,0.00102312,0.00102312
13,30.7801,0.4813,0.50007,0.83183,0.92559,0.91359,0.97981,0.88466,0.47801,0.40586,0.80829,0.0010025,0.0010025,0.0010025
14,33.1035,0.49324,0.47841,0.83188,0.81874,0.87849,0.95212,0.85897,0.48389,0.70264,0.81425,0.000981875,0.000981875,0.000981875
15,35.4298,0.46114,0.47937,0.82828,0.82721,0.87663,0.94073,0.85304,0.47681,0.63341,0.81149,0.00096125,0.00096125,0.00096125
16,37.7281,0.48296,0.481,0.82916,0.91293,0.94945,0.98297,0.88536,0.48488,0.39628,0.81899,0.000940625,0.000940625,0.000940625
17,40.0674,0.48988,0.45725,0.82702,0.89019,0.93623,0.97923,0.88492,0.49969,0.45936,0.81547,0.00092,0.00092,0.00092
18,42.3692,0.4791,0.44983,0.82852,0.86169,0.88299,0.95299,0.86556,0.47578,0.63106,0.813,0.000899375,0.000899375,0.000899375
19,44.6755,0.46975,0.41845,0.82358,0.93263,0.91862,0.98389,0.88293,0.50571,0.4034,0.81616,0.00087875,0.00087875,0.00087875
20,46.9814,0.47009,0.42697,0.82294,0.9642,0.96402,0.98955,0.89073,0.47675,0.30158,0.81078,0.000858125,0.000858125,0.000858125
21,49.3131,0.47177,0.41113,0.82525,0.94728,0.95252,0.98641,0.89647,0.46733,0.35194,0.81323,0.0008375,0.0008375,0.0008375
22,51.6426,0.471,0.42028,0.82372,0.94183,0.94955,0.98566,0.88989,0.48155,0.35816,0.81609,0.000816875,0.000816875,0.000816875
23,53.948,0.46867,0.40889,0.82624,0.8337,0.8438,0.94744,0.8574,0.46915,0.78326,0.81503,0.00079625,0.00079625,0.00079625
24,56.251,0.45264,0.37573,0.82019,0.95302,0.9628,0.9873,0.89622,0.47339,0.31554,0.81146,0.000775625,0.000775625,0.000775625
25,58.5689,0.45186,0.37943,0.82279,0.9469,0.96724,0.98758,0.90297,0.46323,0.31707,0.80989,0.000755,0.000755,0.000755
26,60.9063,0.45537,0.36599,0.82468,0.92963,0.96834,0.98978,0.89008,0.49228,0.32387,0.81455,0.000734375,0.000734375,0.000734375
27,63.2182,0.45711,0.35845,0.82201,0.95265,0.94858,0.9849,0.89885,0.46718,0.31516,0.80973,0.00071375,0.00071375,0.00071375
28,65.5422,0.44919,0.34618,0.8206,0.86727,0.90872,0.9759,0.88498,0.47504,0.54113,0.81458,0.000693125,0.000693125,0.000693125
29,67.8518,0.44566,0.34888,0.82081,0.8832,0.91636,0.9798,0.89193,0.4656,0.45733,0.81078,0.0006725,0.0006725,0.0006725
30,70.1449,0.44355,0.35858,0.82216,0.941,0.96536,0.992,0.89687,0.47019,0.31501,0.81087,0.000651875,0.000651875,0.000651875
31,72.4602,0.43404,0.3441,0.81433,0.95377,0.93638,0.98754,0.90214,0.45892,0.34103,0.81016,0.00063125,0.00063125,0.00063125
32,74.7554,0.42841,0.33567,0.81639,0.88285,0.91187,0.97973,0.89679,0.45644,0.42437,0.80818,0.000610625,0.000610625,0.000610625
33,77.0633,0.43974,0.33662,0.81979,0.97537,0.98281,0.99234,0.90864,0.46135,0.27015,0.8112,0.00059,0.00059,0.00059
34,79.3859,0.43494,0.3336,0.81582,0.95966,0.9362,0.9898,0.89911,0.47453,0.34428,0.81402,0.000569375,0.000569375,0.000569375
35,81.6937,0.43389,0.32651,0.8217,0.97429,0.97776,0.99335,0.90739,0.46398,0.26021,0.81225,0.00054875,0.00054875,0.00054875
36,83.9976,0.43186,0.32221,0.81783,0.94537,0.966,0.99174,0.90392,0.46412,0.30199,0.81106,0.000528125,0.000528125,0.000528125
37,86.3125,0.4269,0.30984,0.81399,0.96659,0.94625,0.98732,0.89982,0.47122,0.32827,0.81309,0.0005075,0.0005075,0.0005075
