epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,28.3339,0.46929,0.42876,0.89085,0.97132,0.95751,0.96495,0.86519,0.49028,0.33817,0.82449,0.000215774,0.000215774,0.000215774
43,28.9701,0.42827,0.34762,0.871,0.97,0.9545,0.96456,0.87081,0.47983,0.32969,0.82159,0.000204769,0.000204769,0.000204769
44,29.6169,0.4032,0.63099,0.78242,0.94984,0.95305,0.96264,0.87194,0.48215,0.33159,0.8263,0.000193763,0.000193763,0.000193763
45,30.2548,0.46846,0.37908,0.86827,0.96161,0.95237,0.96337,0.87191,0.48269,0.31757,0.82489,0.000182758,0.000182758,0.000182758
46,30.8935,0.4333,0.35285,0.88324,0.96699,0.95933,0.96457,0.87664,0.46848,0.30129,0.82293,0.000171752,0.000171752,0.000171752
47,31.5352,0.43836,0.32563,0.89622,0.97088,0.95935,0.96375,0.87171,0.46638,0.30416,0.82457,0.000160747,0.000160747,0.000160747
48,32.1874,0.45414,0.41845,0.8944,0.95877,0.95374,0.96181,0.87859,0.46609,0.30248,0.82005,0.000149741,0.000149741,0.000149741
49,32.8241,0.44239,0.36753,0.88617,0.95742,0.95327,0.95802,0.87058,0.46938,0.29897,0.82371,0.000138736,0.000138736,0.000138736
50,33.4603,0.41502,0.31566,0.86319,0.95256,0.95583,0.95918,0.87461,0.46652,0.30369,0.82391,0.000127731,0.000127731,0.000127731
51,34.4593,0.37542,0.32182,0.80001,0.94775,0.95468,0.95782,0.87551,0.47204,0.30673,0.82481,0.000116725,0.000116725,0.000116725
52,35.1279,0.38112,0.28108,0.81309,0.93903,0.95602,0.95712,0.87447,0.47746,0.30384,0.82412,0.00010572,0.00010572,0.00010572
53,35.7617,0.3482,0.25638,0.79943,0.95438,0.9515,0.96018,0.87643,0.48584,0.30701,0.82791,9.4714e-05,9.4714e-05,9.4714e-05
54,36.3987,0.42089,0.40466,0.83971,0.95698,0.94898,0.96124,0.87125,0.48904,0.30526,0.83165,8.37085e-05,8.37085e-05,8.37085e-05
55,37.0356,0.34568,0.25397,0.82889,0.95405,0.95046,0.96259,0.87369,0.49006,0.30807,0.83056,7.2703e-05,7.2703e-05,7.2703e-05
56,37.6785,0.33258,0.2909,0.82861,0.95141,0.95264,0.96376,0.87869,0.48706,0.29977,0.82311,6.16975e-05,6.16975e-05,6.16975e-05
57,38.3181,0.34576,0.25131,0.83771,0.94947,0.94915,0.96361,0.87942,0.49167,0.29839,0.82421,5.0692e-05,5.0692e-05,5.0692e-05
58,38.9624,0.36657,0.24956,0.82707,0.94954,0.94934,0.96392,0.87784,0.49459,0.29943,0.82585,3.96865e-05,3.96865e-05,3.96865e-05
59,39.5989,0.32639,0.2413,0.8229,0.95144,0.94877,0.96411,0.87957,0.49055,0.29647,0.82563,2.8681e-05,2.8681e-05,2.8681e-05
60,40.2413,0.33102,0.27003,0.81863,0.95267,0.94947,0.96179,0.87551,0.48859,0.29223,0.82509,1.76755e-05,1.76755e-05,1.76755e-05
