epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.03352,1.51857,4.67417,1.25278,0.47914,0.28159,0.27621,0.15529,1.71384,4.55401,1.33503,0.00048,0.00048,0.00048
2,3.75228,1.67651,2.41617,1.32553,0.01678,0.18412,0.01041,0.00463,2.02083,22.6214,1.8385,0.00096383,0.00096383,0.00096383
3,5.43587,1.79205,2.21873,1.45902,0.05468,0.1083,0.0196,0.00704,2.46863,35.5988,2.95406,0.00143116,0.00143116,0.00143116
4,7.24319,1.84363,2.17413,1.47319,0.00091,0.09747,0.0005,0.00023,2.95057,inf,4.16838,0.00188199,0.00188199,0.00188199
5,8.94194,1.91015,2.25877,1.54067,0.00381,0.25271,0.00227,0.00114,2.27497,inf,2.45217,0.001868,0.001868,0.001868
6,10.6323,1.86154,2.14375,1.4826,0.0038,0.29242,0.00235,0.00125,nan,nan,nan,0.001835,0.001835,0.001835
7,12.2916,1.86795,2.10097,1.50681,0.34088,0.20578,0.18428,0.08437,2.0435,5.58926,1.75684,0.001802,0.001802,0.001802
8,13.9419,1.83728,2.00344,1.46311,0.39875,0.25632,0.2328,0.10797,1.95882,2.90654,1.6368,0.001769,0.001769,0.001769
9,15.5918,1.83456,2.02201,1.46416,0.2979,0.29603,0.1823,0.07896,1.99314,4.80205,1.67271,0.001736,0.001736,0.001736
10,17.2437,1.75647,1.91229,1.44915,0.42348,0.28159,0.25428,0.12275,1.85273,2.64784,1.55832,0.001703,0.001703,0.001703
11,18.8913,1.75744,1.87774,1.38684,0.5262,0.32491,0.35793,0.17418,1.8273,2.96519,1.54132,0.00167,0.00167,0.00167
12,20.5689,1.67505,1.76614,1.37322,0.45573,0.28881,0.30152,0.14755,1.92146,2.06632,1.58112,0.001637,0.001637,0.001637
13,22.2038,1.64672,1.69589,1.35197,0.52903,0.32491,0.33205,0.17192,1.80387,1.9816,1.50014,0.001604,0.001604,0.001604
14,23.84,1.67306,1.71401,1.34529,0.51624,0.36462,0.35522,0.18533,1.87309,1.85017,1.53399,0.001571,0.001571,0.001571
15,25.5021,1.61254,1.69562,1.34884,0.51391,0.37906,0.36877,0.1942,1.84462,2.13203,1.55329,0.001538,0.001538,0.001538
16,27.174,1.56999,1.66182,1.32775,0.55078,0.38989,0.40577,0.22083,1.75806,1.81988,1.45458,0.001505,0.001505,0.001505
17,28.8359,1.55454,1.59377,1.29613,0.55322,0.36656,0.39617,0.20265,1.76505,1.79316,1.48858,0.001472,0.001472,0.001472
18,30.4736,1.59702,1.68058,1.3288,0.56465,0.36462,0.38157,0.2227,1.71615,1.71636,1.43797,0.001439,0.001439,0.001439
19,32.1157,1.57096,1.57775,1.28076,0.51764,0.38989,0.40023,0.20077,1.77127,1.83845,1.49644,0.001406,0.001406,0.001406
20,33.7582,1.51246,1.53134,1.26352,0.57693,0.39384,0.41872,0.21312,1.75816,1.69252,1.43933,0.001373,0.001373,0.001373
21,35.3918,1.49614,1.45589,1.24591,0.45561,0.42299,0.38842,0.20696,1.75645,1.84787,1.44145,0.00134,0.00134,0.00134
22,37.0217,1.47526,1.44794,1.26795,0.58458,0.36823,0.41934,0.22281,1.73404,1.79785,1.45509,0.001307,0.001307,0.001307
23,38.6838,1.46934,1.44432,1.27834,0.57336,0.38989,0.41327,0.22251,1.62242,1.79858,1.3898,0.001274,0.001274,0.001274
24,40.3294,1.4612,1.43967,1.25368,0.557,0.33589,0.37355,0.2034,1.69384,1.8385,1.43745,0.001241,0.001241,0.001241
25,41.9693,1.40712,1.40772,1.25343,0.6066,0.4296,0.46264,0.24091,1.65844,1.59541,1.40829,0.001208,0.001208,0.001208
